NumAgent;Mean;Variance;NumBelow1hour;Pbelow1hourExperimental;LB Confidence 95;UB Confidence 95;X-µ / sigma;Pbelow1hourTheoretical
s;s;s;s;s;s;s;s
1;6,11E+06;4,64E+06;0;0;5,18E+06;7,04E+06;-1,32E+00;9,41E-02
5;1,19E+06;1,26E+06;1;0,01;9,33E+05;1,44E+06;-9,35E-01;1,75E-01
10;545590;539728;2;0,02;4,38E+05;6,54E+05;-1,00E+00;1,58E-01
15;354845;353957;1;0,01;2,84E+05;4,26E+05;-9,92E-01;1,61E-01
20;279563;280570;1;0,01;2,23E+05;3,36E+05;-9,84E-01;1,63E-01
25;206529;220526;3;0,03;1,62E+05;2,51E+05;-9,20E-01;1,79E-01
30;178982;200858;2;0,02;1,39E+05;2,19E+05;-8,73E-01;1,91E-01
35;177913;158583;1;0,01;1,46E+05;2,10E+05;-1,10E+00;1,36E-01
40;143821;138388;2;0,02;1,16E+05;1,71E+05;-1,01E+00;1,55E-01
45;126378;135503;2;0,02;9,93E+04;1,53E+05;-9,06E-01;1,82E-01
50;120473;113733;0;0;9,77E+04;1,43E+05;-1,03E+00;1,52E-01
55;98425,8;86094,9;7;0,07;8,12E+04;1,16E+05;-1,10E+00;1,35E-01
60;98650,6;93154,4;4;0,04;8,00E+04;1,17E+05;-1,02E+00;1,54E-01
65;84409,5;84055,6;2;0,02;6,76E+04;1,01E+05;-9,61E-01;1,68E-01
70;84411,7;81937,2;7;0,07;6,80E+04;1,01E+05;-9,86E-01;1,62E-01
75;72495,4;80416,2;7;0,07;5,64E+04;8,86E+04;-8,57E-01;1,96E-01
80;76594,9;71902,7;7;0,07;6,22E+04;9,10E+04;-1,02E+00;1,55E-01
85;60790,2;63464,5;2;0,02;4,81E+04;7,35E+04;-9,01E-01;1,84E-01
90;68722,2;60960,5;4;0,04;5,65E+04;8,09E+04;-1,07E+00;1,43E-01
95;58328,3;56708,3;4;0,04;4,70E+04;6,97E+04;-9,65E-01;1,67E-01
100;59725,2;64532,4;8;0,08;4,68E+04;7,26E+04;-8,70E-01;1,92E-01
105;49893,1;47902,1;10;0,1;4,03E+04;5,95E+04;-9,66E-01;1,67E-01
110;49621,6;43673,7;3;0,03;4,09E+04;5,84E+04;-1,05E+00;1,46E-01
121;37849,3;32309,2;7;0,07;3,14E+04;4,43E+04;-1,06E+00;1,45E-01
133;42207,8;38309,7;5;0,05;3,45E+04;4,99E+04;-1,01E+00;1,57E-01
146;49505,3;88497;3;0,03;3,18E+04;6,72E+04;-5,19E-01;3,02E-01
160;38899;37226,7;6;0,06;3,15E+04;4,63E+04;-9,48E-01;1,72E-01
176;29961,2;28229,6;5;0,05;2,43E+04;3,56E+04;-9,34E-01;1,75E-01
193;26978,4;24280,9;13;0,13;2,21E+04;3,18E+04;-9,63E-01;1,68E-01
212;23737,1;23411,7;15;0,15;1,91E+04;2,84E+04;-8,60E-01;1,95E-01
233;28017;25739,7;14;0,14;2,29E+04;3,32E+04;-9,49E-01;1,71E-01
256;19064,9;17152,2;18;0,18;1,56E+04;2,25E+04;-9,02E-01;1,84E-01
281;19032,2;16005,4;15;0,15;1,58E+04;2,22E+04;-9,64E-01;1,67E-01
309;17669,1;16412,2;16;0,16;1,44E+04;2,10E+04;-8,57E-01;1,96E-01
339;14917,9;13303,2;18;0,18;1,23E+04;1,76E+04;-8,51E-01;1,97E-01
372;15820,8;17488,2;19;0,19;1,23E+04;1,93E+04;-6,99E-01;2,42E-01
409;12410,1;12866,8;26;0,26;9,84E+03;1,50E+04;-6,85E-01;2,47E-01
449;13170,3;11788,2;23;0,23;1,08E+04;1,55E+04;-8,12E-01;2,08E-01
493;10255,4;10395,9;29;0,29;8,18E+03;1,23E+04;-6,40E-01;2,61E-01
542;10862,3;12641,1;30;0,3;8,33E+03;1,34E+04;-5,74E-01;2,83E-01
596;10878;11311,6;28;0,28;8,62E+03;1,31E+04;-6,43E-01;2,60E-01
655;8375,22;8956,78;42;0,42;6,58E+03;1,02E+04;-5,33E-01;2,97E-01
720;8077,29;10596,1;41;0,41;5,96E+03;1,02E+04;-4,23E-01;3,36E-01
792;7167,4;7756,02;37;0,37;5,62E+03;8,72E+03;-4,60E-01;3,23E-01
871;9140,89;14298,6;39;0,39;6,28E+03;1,20E+04;-3,88E-01;3,49E-01
958;6091,83;5748,39;42;0,42;4,94E+03;7,24E+03;-4,33E-01;3,32E-01
1053;6119,81;5891,82;42;0,42;4,94E+03;7,30E+03;-4,28E-01;3,34E-01
1158;6101,87;5270,08;41;0,41;5,05E+03;7,16E+03;-4,75E-01;3,17E-01
1273;3965,31;5473,26;66;0,66;2,87E+03;5,06E+03;-6,67E-02;4,73E-01
1400;3875,75;3769,68;62;0,62;3,12E+03;4,63E+03;-7,31E-02;4,71E-01
1540;3319,72;3056,65;67;0,67;2,71E+03;3,93E+03;9,17E-02;5,37E-01
1694;3708,44;4428,1;63;0,63;2,82E+03;4,59E+03;-2,45E-02;4,90E-01
1863;3082,43;3149,63;68;0,68;2,45E+03;3,71E+03;1,64E-01;5,65E-01
2049;2744,4;2664,44;73;0,73;2,21E+03;3,28E+03;3,21E-01;6,26E-01
2253;2466,03;2590,2;78;0,78;1,95E+03;2,98E+03;4,38E-01;6,69E-01
