NumAgent	Mean		Variance	NumBelow1hour
1		6.11193e+06	4.64239e+06	0
5		1.18587e+06	1.26442e+06	1
10      545590      539728      2
15      354845      353957      1
20      279563      280570      1
25      206529      220526      3
30      178982      200858      2
35      177913      158583      1
40      143821      138388      2
45      126378      135503      2
50      120473      113733      0
55      98425.8     86094.9     7
60      98650.6     93154.4     4
65      84409.5     84055.6     2
70      84411.7     81937.2     7
75      72495.4     80416.2     7
80      76594.9     71902.7     7
85      60790.2     63464.5     2
90      68722.2     60960.5     4
95      58328.3     56708.3     4
100     59725.2     64532.4     8
105     49893.1     47902.1     10
110     49621.6     43673.7     3
121     37849.3     32309.2     7
133     42207.8     38309.7     5
146     49505.3     88497       3
160     38899       37226.7     6
176     29961.2     28229.6     5
193     26978.4     24280.9     13
212     23737.1     23411.7     15
233     28017       25739.7     14
256     19064.9     17152.2     18
281     19032.2     16005.4     15
309     17669.1     16412.2     16
339     14917.9     13303.2     18
372     15820.8     17488.2     19
409     12410.1     12866.8     26
449     13170.3     11788.2     23
493     10255.4     10395.9     29
542     10862.3     12641.1     30
596     10878       11311.6     28
655     8375.22     8956.78     42
720     8077.29     10596.1     41
792     7167.4      7756.02     37
871     9140.89     14298.6     39
958     6091.83     5748.39     42
1053        6119.81     5891.82     42
1158        6101.87     5270.08     41
1273        3965.31     5473.26     66
1400        3875.75     3769.68     62
1540        3319.72     3056.65     67
1694        3708.44     4428.1      63
1863        3082.43     3149.63     68
2049        2744.4      2664.44     73
2253        2466.03     2590.2      78
2478        2073.69     2157.36     79
2725        2011.38     2027.17     81
2997        1767.44     1616.53     86
3296        1727.07     1582.44     90
3625        1510.54     1436.57     89
3987        1410.11     1401.29     95
4385        1218.4      949.972     97
4823        1131.04     1027.25     96
5305        938.38      920.312     97
5835        901.9       760.306     99
6418        848.76      883.88      99
7059        880.62      915.39      98
7764        763.03      784.96      99
8540        737.64      745.001     99
